Sl.No,Regional and Branch Code,Names of Regional / Branch / Satellite Offices,Designation,Address1,Address2,Address3,Pincode,Email Id,Phone Number
1,91,Head Office,NA,"New No.692, Anna Salai",Nandanam,Chennai,600035,ho@tiic.org,044-24306100 / 044-24331203
2,10a,Chennai Regional Appraisal Cell,RAC Head,"New No.692, Anna Salai",Nandanam,Chennai,600035,rapc.chennai@tiic.org,044-48529514
3,10b,Chennai Branch,Branch Manager,"New No.692, Anna Salai",Nandanam,Chennai,600035,bmchennai@tiic.org,044-48529518
4,10c,Tiruvallur,Sr.Branch Manager,"86 C and D, Ambattur Industrial Estate",Ambattur,Chennai,600058,bmtiruvallur@tiic.org,044-26257664
5,10d,Tambaram Branch,Branch Manager,"No.27, First Floor",Rajaji Road,"Tambaram West, Chennai",600045,bmtambaram@tiic.org,044-22260910
6,10e,Cuddalore,Branch Manager,"No.60/1B, Imperial Plaza, Nellikuppam Main Road","Near District Employment Office, Semmandalam",Cuddalore,607001,bmcuddalore@tiic.org,04142-230831
7,10f,Vellore,Branch Manager,Vasan ENT Clinic -1st Floor,"No.73/A, Katpadi Main road","Gandhi Nagar, Vellore",632006,bmvellore@tiic.org,0416-2249861
8,10g,Tiruvannamalai Satellite Office,Office In-charge,"4-A, Lakshmipuram","Bye-pass Road, Gandhi Nagar",Tiruvannamalai,606602,bmtiruvannamalai@tiic.org,04175-253032
9,10h,Sriperumbudur Satellite Office,Office In-charge,"No.5, Ramanujar Street","No.77, Bangalore Trunk Road, Near Pandian Hospital",Sriperumbudur,602105,bmsriperumbudur@tiic.org,9094068558 / 9080324863 
10,10i,Gummidipoondi Satellite Office,Office In-charge,"No.711-A, North SIPCOT Road",Gummidipoondi,NA,601201,bmgummidipoondi@tiic.org,9751377679
11,20a,Coimbatore Regional Appraisal Cell,RAC Head,"No.94, Dr. Nanjappa Road",United Shopping Complex,Coimbatore,641018,rapc.coimbatore@tiic.org,0422-2302231
12,20b,Coimbatore,Branch Manager,"No.94, Dr. Nanjappa Road",United Shopping Complex,Coimbatore,641018,bmcoimbatore@tiic.org,0422-2380520
13,20c,Tiruppur,Branch Manager,Kumaran Shopping Complex,"II Floor, Near Railway Station",Tiruppur,641601,bmtiruppur@tiic.org,0421-2207489
14,20d,Erode,Branch Manager,"C.S. Sengottiah Complex, II Floor","23, Chidambaram Colony, 80 Feet Road","Periyar Nagar, Erode",638001,bmerode@tiic.org,0424-2262080
15,20e,Kurichi Branch,Branch Manager,"Plot No.91, First Floor, COSIEMA Complex","SIDCO Indl. Estate (West), Kurichi",Coimbatore,641021,bmkurichi@tiic.org,0422-2670084
16,30a,Madurai Reg. Appraisal Cell,RAC Head,"No.1A, East Cross Street",(First Floor) (Reliance Fresh Upstairs),"Anna Nagar, Madurai",625020,rapc.madurai@tiic.org,0452-2533018
17,30b,Madurai,Branch Manager,"No.1A, East Cross Street",(First Floor) (Reliance Fresh Upstairs),"Anna Nagar, Madurai",625020,bmmadurai@tiic.org,0452-2533331
18,30c,Dindigul,Branch Manager,"Plot No.9, Spencer Compound",Tiruvalluvar Salai,Dindigul,624003,bmdindigul@tiic.org,0451-2433785
19,30d,Karaikkudi Satellite Office,Office In-charge,Shri PPKA Complex II Floor,"Shanmuga Raja Road, Sekkalai Road",Karaikkudi,630002,bmkaraikudi@tiic.org,04565-238746
20,30e,Ramnad Satellite Office,Office In-charge,"D.No.1130-C, First Floor","Opp. to Sothurani, Ramnad-Rameswaram Road","Bharathi Nagar, Ramanathapuram.",623504,bmramnad@tiic.org,04567-232474
21,30f,Theni Satellite Office,Office In-charge,"Room No.22, D.No.297","Chinthamani Ammal Complex, Near Kottakudi Palam","Cumbum Road, Theni",625531,bmtheni@tiic.org,04546-251982
