SlNo,Regional_and_Branch_Code,Names_of_Regional___Branch___Satellite_Offices,Designation,Address1,Address2,Address3,Pincode,Email_Id,Phone_Number,District,Office_Type,Phone_Count,Has_Email,Estimated_Business_Density,Estimated_MSME_Count,Estimated_Distance_Index,Service_Demand_Score,Demand_Category
1,91,Head Office,Unknown,"New No.692, Anna Salai",Nandanam,Chennai,600035,ho@tiic.org,044-24306100 / 044-24331203,Chennai,Office,2,1,152,1057,16.27,536.31,Medium
2,10a,Chennai Regional Appraisal Cell,RAC Head,"New No.692, Anna Salai",Nandanam,Chennai,600035,rapc.chennai@tiic.org,044-48529514,Chennai,Regional,1,1,485,786,26.48,500.49000000000007,Medium
3,10b,Chennai Branch,Branch Manager,"New No.692, Anna Salai",Nandanam,Chennai,600035,bmchennai@tiic.org,044-48529518,Chennai,Branch,1,1,398,1057,27.79,589.37,Medium
4,10c,Tiruvallur,Sr.Branch Manager,"86 C and D, Ambattur Industrial Estate",Ambattur,Chennai,600058,bmtiruvallur@tiic.org,044-26257664,Chennai,Office,1,1,320,662,10.06,419.78000000000003,Medium
5,10d,Tambaram Branch,Branch Manager,"No.27, First Floor",Rajaji Road,"Tambaram West, Chennai",600045,bmtambaram@tiic.org,044-22260910,Chennai,Branch,1,1,156,1999,48.51,887.1300000000001,High
6,10e,Cuddalore,Branch Manager,"No.60/1B, Imperial Plaza, Nellikuppam Main Road","Near District Employment Office, Semmandalam",Cuddalore,607001,bmcuddalore@tiic.org,04142-230831,Cuddalore,Office,2,1,121,1690,38.98,764.89,High
7,10f,Vellore,Branch Manager,Vasan ENT Clinic -1st Floor,"No.73/A, Katpadi Main road","Gandhi Nagar, Vellore",632006,bmvellore@tiic.org,0416-2249861,Vellore,Office,1,1,238,1367,47.04,634.3699999999999,Medium
8,10g,Tiruvannamalai Satellite Office,Office In-charge,"4-A, Lakshmipuram","Bye-pass Road, Gandhi Nagar",Tiruvannamalai,606602,bmtiruvannamalai@tiic.org,04175-253032,Other,Satellite,2,1,70,931,44.85,393.75,Low
9,10h,Sriperumbudur Satellite Office,Office In-charge,"No.5, Ramanujar Street","No.77, Bangalore Trunk Road, Near Pandian Hospital",Sriperumbudur,602105,bmsriperumbudur@tiic.org,9094068558 / 9080324863,Other,Satellite,2,1,152,1628,30.3,765.2,High
10,10i,Gummidipoondi Satellite Office,Office In-charge,"No.711-A, North SIPCOT Road",Gummidipoondi,Unknown,601201,bmgummidipoondi@tiic.org,9751377679,Other,Satellite,1,1,171,1254,46.17,561.8100000000001,Medium
11,20a,Coimbatore Regional Appraisal Cell,RAC Head,"No.94, Dr. Nanjappa Road",United Shopping Complex,Coimbatore,641018,rapc.coimbatore@tiic.org,0422-2302231,Coimbatore,Regional,1,1,264,1608,5.34,835.32,High
12,20b,Coimbatore,Branch Manager,"No.94, Dr. Nanjappa Road",United Shopping Complex,Coimbatore,641018,bmcoimbatore@tiic.org,0422-2380520,Coimbatore,Office,1,1,380,1942,10.6,1015.6999999999999,High
13,20c,Tiruppur,Branch Manager,Kumaran Shopping Complex,"II Floor, Near Railway Station",Tiruppur,641601,bmtiruppur@tiic.org,0421-2207489,Tiruppur,Office,1,1,137,746,3.22,407.21,Low
14,20d,Erode,Branch Manager,"C.S. Sengottiah Complex, II Floor","23, Chidambaram Colony, 80 Feet Road","Periyar Nagar, Erode",638001,bmerode@tiic.org,0424-2262080,Erode,Office,1,1,422,120,16.94,197.82,Low
15,20e,Kurichi Branch,Branch Manager,"Plot No.91, First Floor, COSIEMA Complex","SIDCO Indl. Estate (West), Kurichi",Coimbatore,641021,bmkurichi@tiic.org,0422-2670084,Coimbatore,Branch,1,1,149,940,20.05,465.04999999999995,Medium
16,30a,Madurai Reg. Appraisal Cell,RAC Head,"No.1A, East Cross Street",(First Floor) (Reliance Fresh Upstairs),"Anna Nagar, Madurai",625020,rapc.madurai@tiic.org,0452-2533018,Madurai,Office,1,1,409,266,14.3,264.25,Low
17,30b,Madurai,Branch Manager,"No.1A, East Cross Street",(First Floor) (Reliance Fresh Upstairs),"Anna Nagar, Madurai",625020,bmmadurai@tiic.org,0452-2533331,Madurai,Office,1,1,201,1397,41.61,645.78,High
18,30c,Dindigul,Branch Manager,"Plot No.9, Spencer Compound",Tiruvalluvar Salai,Dindigul,624003,bmdindigul@tiic.org,0451-2433785,Dindigul,Office,1,1,180,487,18.48,275.18999999999994,Low
19,30d,Karaikkudi Satellite Office,Office In-charge,Shri PPKA Complex II Floor,"Shanmuga Raja Road, Sekkalai Road",Karaikkudi,630002,bmkaraikudi@tiic.org,04565-238746,Other,Satellite,2,1,199,700,14.77,395.10999999999996,Low
